ticker,date,day_of_week,Price
BTC,2022-12-15,Thu,17344.3
BTC,2022-12-16,Fri,16725
BTC,2022-12-17,Sat,16741.7
BTC,2022-12-18,Sun,16763.8
BTC,2022-12-19,Mon,16416.3
BTC,2022-12-20,Tue,16869.7
BTC,2022-12-21,Wed,16765.4
BTC,2022-12-22,Thu,16795
BTC,2022-12-23,Fri,16791
BTC,2022-12-24,Sat,16824.9
BTC,2022-12-25,Sun,16819.6
BTC,2022-12-26,Mon,16835.3
BTC,2022-12-27,Tue,16684.1
BTC,2022-12-28,Wed,16509.2
BTC,2022-12-29,Thu,16612.5
BTC,2022-12-30,Fri,16575.2
BTC,2022-12-31,Sat,16512.6
BTC,2023-01-01,Sun,16594.6
BTC,2023-01-02,Mon,16692.9
BTC,2023-01-03,Tue,16670.7
BTC,2023-01-04,Wed,16821.5
BTC,2023-01-05,Thu,16832.7
BTC,2023-01-06,Fri,16953
BTC,2023-01-07,Sat,16932.5
BTC,2023-01-08,Sun,16961.2
BTC,2023-01-09,Mon,17204.3
BTC,2023-01-10,Tue,17433.6
BTC,2023-01-11,Wed,17555
BTC,2023-01-12,Thu,18916.8
BTC,2023-01-13,Fri,19851.1
BTC,2023-01-14,Sat,20987.8
BTC,2023-01-15,Sun,20916.3
BTC,2023-01-16,Mon,21188.3
BTC,2023-01-17,Tue,21234.1
BTC,2023-01-18,Wed,20807.8
BTC,2023-01-19,Thu,21064.9
BTC,2023-01-20,Fri,22594.9
BTC,2023-01-21,Sat,22948.9
BTC,2023-01-22,Sun,22681.5
BTC,2023-01-23,Mon,22931
BTC,2023-01-24,Tue,22756.8
BTC,2023-01-25,Wed,22939.2
BTC,2023-01-26,Thu,23005.8
BTC,2023-01-27,Fri,23015.6
BTC,2023-01-28,Sat,22982.4
BTC,2023-01-29,Sun,23767.1
BTC,2023-01-30,Mon,22731.3
BTC,2023-01-31,Tue,23183.7
BTC,2023-02-01,Wed,23714.8
BTC,2023-02-02,Thu,23561.5
BTC,2023-02-03,Fri,23423.5
BTC,2023-02-04,Sat,23405
BTC,2023-02-05,Sun,22986.1
BTC,2023-02-06,Mon,22882.2
BTC,2023-02-07,Tue,23230.2
BTC,2023-02-08,Wed,22931.1
BTC,2023-02-09,Thu,21767.6
BTC,2023-02-10,Fri,21573.7
BTC,2023-02-11,Sat,21826
BTC,2023-02-12,Sun,21797
BTC,2023-02-13,Mon,21652
BTC,2023-02-14,Tue,22197.2
BTC,2023-02-15,Wed,24154.2
BTC,2023-02-16,Thu,24013.8
BTC,2023-02-17,Fri,24680.9
BTC,2023-02-18,Sat,24631.4
BTC,2023-02-19,Sun,24496.9
BTC,2023-02-20,Mon,24707.3
BTC,2023-02-21,Tue,24388.5
BTC,2023-02-22,Wed,24100.6
BTC,2023-02-23,Thu,23873.6
BTC,2023-02-24,Fri,23119.7
BTC,2023-02-25,Sat,23123
BTC,2023-02-26,Sun,23478.9
BTC,2023-02-27,Mon,23478.5
BTC,2023-02-28,Tue,23161.8
BTC,2023-03-01,Wed,23535
BTC,2023-03-02,Thu,23464.9
BTC,2023-03-03,Fri,22320.4
BTC,2023-03-04,Sat,22307.2
BTC,2023-03-05,Sun,22434.8
BTC,2023-03-06,Mon,22432.3
BTC,2023-03-07,Tue,22104.6
BTC,2023-03-08,Wed,21788.4
BTC,2023-03-09,Thu,20344.5
BTC,2023-03-10,Fri,20167.4
BTC,2023-03-11,Sat,20483.6
BTC,2023-03-12,Sun,21915.8
BTC,2023-03-13,Mon,24299.2
BTC,2023-03-14,Tue,24804
BTC,2023-03-15,Wed,24464.9
BTC,2023-03-16,Thu,25043.8
BTC,2023-03-17,Fri,27750.1
BTC,2023-03-18,Sat,27003.4
BTC,2023-03-19,Sun,28194.4
BTC,2023-03-20,Mon,28054.7
BTC,2023-03-21,Tue,28121.4
BTC,2023-03-22,Wed,27286.4
BTC,2023-03-23,Thu,28277.4
BTC,2023-03-24,Fri,27328.5
BTC,2023-03-25,Sat,27473.9
BTC,2023-03-26,Sun,27856.6
BTC,2023-03-27,Mon,27183.4
BTC,2023-03-28,Tue,27201.1
BTC,2023-03-29,Wed,28298.4
BTC,2023-03-30,Thu,28076.4
BTC,2023-03-31,Fri,28482.9
BTC,2023-04-01,Sat,28488
BTC,2023-04-02,Sun,28032.2
BTC,2023-04-03,Mon,27720.8
BTC,2023-04-04,Tue,28233.1
BTC,2023-04-05,Wed,28191.2
BTC,2023-04-06,Thu,27999
BTC,2023-04-07,Fri,27911.8
BTC,2023-04-08,Sat,27940.7
BTC,2023-04-09,Sun,28456.2
BTC,2023-04-10,Mon,29246.3
BTC,2023-04-11,Tue,30219.4
BTC,2023-04-12,Wed,29967.5
BTC,2023-04-13,Thu,30312.8
BTC,2023-04-14,Fri,30479.4
BTC,2023-04-15,Sat,30291
BTC,2023-04-16,Sun,30406.3
BTC,2023-04-17,Mon,29469.6
BTC,2023-04-18,Tue,30376.8
BTC,2023-04-19,Wed,29180.7
BTC,2023-04-20,Thu,28232.7
BTC,2023-04-21,Fri,27277
BTC,2023-04-22,Sat,27671.5
BTC,2023-04-23,Sun,27519.2
BTC,2023-04-24,Mon,27415.2
BTC,2023-04-25,Tue,28274.5
BTC,2023-04-26,Wed,28686.8
BTC,2023-04-27,Thu,29656.8
BTC,2023-04-28,Fri,29351.2
BTC,2023-04-29,Sat,29247.2
BTC,2023-04-30,Sun,29428
BTC,2023-05-01,Mon,27992.7
BTC,2023-05-02,Tue,28677.9
BTC,2023-05-03,Wed,28931.2
BTC,2023-05-04,Thu,28850.4
BTC,2023-05-05,Fri,29513.6
BTC,2023-05-06,Sat,28857.6
BTC,2023-05-07,Sun,28802.8
BTC,2023-05-08,Mon,27562.3
BTC,2023-05-09,Tue,27625.2
BTC,2023-05-10,Wed,27533.3
BTC,2023-05-11,Thu,27005
BTC,2023-05-12,Fri,26771.5
BTC,2023-05-13,Sat,26876
BTC,2023-05-14,Sun,26922.8
BTC,2023-05-15,Mon,27381.6
BTC,2023-05-16,Tue,27023.8
BTC,2023-05-17,Wed,27378.6
BTC,2023-05-18,Thu,26929.3
BTC,2023-05-19,Fri,26913.9
BTC,2023-05-20,Sat,27057.3
BTC,2023-05-21,Sun,26761.2
BTC,2023-05-22,Mon,26914
BTC,2023-05-23,Tue,27201.7
BTC,2023-05-24,Wed,26367.1
BTC,2023-05-25,Thu,26476.6
BTC,2023-05-26,Fri,26730.6
BTC,2023-05-27,Sat,26781.2
BTC,2023-05-28,Sun,27841.4
BTC,2023-05-29,Mon,27675
BTC,2023-05-30,Tue,27730.2
BTC,2023-05-31,Wed,27095.1
BTC,2023-06-01,Thu,26897.4
BTC,2023-06-02,Fri,27214.7
BTC,2023-06-03,Sat,27015.2
BTC,2023-06-04,Sun,27203.3
BTC,2023-06-05,Mon,25669.4
BTC,2023-06-06,Tue,27064.9
BTC,2023-06-07,Wed,26156.1
BTC,2023-06-08,Thu,26578.2
BTC,2023-06-09,Fri,26474.2
BTC,2023-06-10,Sat,25776.2
BTC,2023-06-11,Sun,26057
BTC,2023-06-12,Mon,25931.6
BTC,2023-06-13,Tue,25844.1
BTC,2023-06-14,Wed,25119
BTC,2023-06-15,Thu,25553.4
BTC,2023-06-16,Fri,26277.1
BTC,2023-06-17,Sat,26514.2
BTC,2023-06-18,Sun,26409.3
BTC,2023-06-19,Mon,26761.9
BTC,2023-06-20,Tue,28134.2
BTC,2023-06-21,Wed,29882.4
BTC,2023-06-22,Thu,30060.4
BTC,2023-06-23,Fri,30677.6
BTC,2023-06-24,Sat,30533
BTC,2023-06-25,Sun,30461.2
BTC,2023-06-26,Mon,30164.4
BTC,2023-06-27,Tue,30722.9
BTC,2023-06-28,Wed,30134.1
BTC,2023-06-29,Thu,30413.1
BTC,2023-06-30,Fri,30469.2
BTC,2023-07-01,Sat,30584.7
BTC,2023-07-02,Sun,30560.2
BTC,2023-07-03,Mon,31052.4
BTC,2023-07-04,Tue,30810.5
BTC,2023-07-05,Wed,30474.9
